sample_name,pump_rollers,cycle_number,a1,a2,a3,a4,h1,h2,h3,h4,b1,b2,b3,b4,duration_sec,flow_max_ml_min,flow_min_ml_min,viscosity_cp
F100,2,6,0.05580072632098863,0.06234783260812007,0.8493619578387804,0.9899999999999999,0.7319960116509843,0.07266270163180658,-0.12154691879109789,-0.9663357592972317,0.0369621359617999,0.09899999999999999,0.01400135445400207,0.013018642055140193,158.5,0.032,-0.066,100.0
F100,2,7,0.09981863595249242,0.49899999999999994,0.7823396341427966,0.9110690615608124,0.5483923464019883,0.04809731412891257,-0.1277676710225055,-0.4753798588734473,0.021087592502747898,0.07503145685407561,0.013272300142517846,0.025110969997878464,172.5,0.034,-0.058,100.0
F100,2,8,0.031533222225299376,0.49899999999999956,0.7656497193446057,0.9231698331033986,0.65427334120026,0.054421190653139905,-0.10363245808942695,-0.47164388523254913,0.016074550344592056,0.07377685496217048,0.013998455262576929,0.027784998974981923,158.5,0.035,-0.073,100.0
F200,2,1,0.10442319964925345,0.4975250737463126,0.4985250737463127,0.9280110344507294,0.6043516034831039,0.9332751288626564,-0.9899999999999988,-0.6457136288384275,0.02466875826788318,0.0815071770500148,0.09899999999999999,0.03577798725883572,169.0,0.036,-0.06,200.0
F200,2,2,0.05472612191919295,0.49748942598187307,0.8909587815943728,0.899037595959128,0.6177563405771703,0.05565340873147012,-0.1632187453909202,-0.6138211829246306,0.020909323219488647,0.04716497706251063,0.009854774862026393,0.06253092107352373,165.0,0.034,-0.059,200.0
F200,2,3,0.013273018430470303,0.4973606557377049,0.8208087117456133,0.9851941284347222,0.8462871860866168,0.058275316886258935,-0.16676658298069946,-0.9899999999999999,0.020385262307088436,0.07694819641563488,0.018991653486684763,0.01680634925347733,152.0,0.033,-0.057,200.0
F200,2,4,0.07770583268741986,0.4989999999999832,0.8157325709725617,0.966431859837714,0.6928573738842598,0.03466184923976432,-0.13015284923854192,-0.743989901939924,0.03036986998387532,0.052050309368117366,0.014339637999555576,0.025802025582445525,164.5,0.034,-0.058,200.0
F200,2,5,0.07779223643243402,0.49899999999999994,0.5000000000000001,0.95363393493156,0.6078747812718276,0.5973621323522614,-0.5939240817463219,-0.9237055099258288,0.025689251459669098,0.08500416577273709,0.09899999999999999,0.04981873842612741,162.5,0.035,-0.058,200.0
F200,2,6,0.0629488843509638,0.49899999999999994,0.5000000000000001,0.9358962068291421,0.671415506086278,0.962641744790104,-0.9899999999998955,-0.7440562734168149,0.023703812258021328,0.08542476673820218,0.09899999999999999,0.038749555968115273,162.5,0.034,-0.057,200.0
F350,2,1,0.05255024045409991,0.15021255050498258,0.8723203388740716,0.9822936557319292,0.7476526670983417,0.18368635847639336,-0.2633799806283286,-0.9899999999999997,0.037643170881974414,0.017860011531970765,0.032018709015531034,0.026249279357596505,84.0,0.07,-0.07,350.0
F350,2,2,0.04488313628998326,0.49577419354838703,0.7895107871501524,0.9813879507359617,0.8653091879153081,0.040297904899900004,-0.04785941301619932,-0.9899999999828667,0.02293548221083017,0.04265145866058661,0.010479379098854562,0.03473784965766812,77.0,0.069,-0.07,350.0
F350,2,3,0.08131108263064164,0.4959325153374233,0.8064909809331238,0.9782864341576492,0.8515075058125232,0.039365921125092844,-0.04230165508822728,-0.9899999999999999,0.03415041027740049,0.056823080605386385,0.008837210711975805,0.03646488935227016,81.0,0.065,-0.067,350.0
F350,2,4,0.031772077039018284,0.10637575159853242,0.8443973693968178,0.981918534024364,0.3978380129749211,0.5544691762569164,-0.14701314668870874,-0.9899999999999999,0.013542590915367215,0.027551350116029227,0.023531812900957592,0.03405439244650286,83.0,0.069,-0.065,350.0
F350,2,5,0.05376193104379179,0.49577419354838703,0.8640132135321085,0.9899999999999999,0.861205788139403,0.03258678548289942,-0.06132827185710249,-0.9899999410912366,0.02712886783383335,0.022214050895153103,0.03430949371166871,0.03577357942614886,77.0,0.068,-0.076,350.0
F350,2,6,0.09374189105119472,0.4959325153374233,0.8815009218428813,0.9899999998490195,0.7532553030550447,0.03135456836870361,-0.09475504950782096,-0.9700999980044648,0.03621243931229642,0.024327852573207086,0.02871735245198593,0.031839293929869485,81.0,0.065,-0.076,350.0
F350,2,7,0.0870747835401315,0.4959325153374233,0.4969325153374234,0.9829138712733364,0.8144661229602289,0.4883449766011057,-0.5091281347241381,-0.9899999999999999,0.03782994650926468,0.0806175155894482,0.09899999999999999,0.038280514857187406,81.0,0.069,-0.075,350.0
F350,2,8,0.028859687733924343,0.09850177805194779,0.8535106912869678,0.9808860588740641,0.42239923920189715,0.534415394848867,-0.19335147625023044,-0.9755088568611104,0.012413940521251709,0.02712615337986694,0.0250539100401304,0.03547411134670592,83.5,0.068,-0.073,350.0
F350,2,9,0.04464122640554485,0.49577419354838703,0.49677419354838714,0.9839793216152991,0.7867104987494363,0.3928966712194709,-0.37530733214118445,-0.9899999999999999,0.023029409224355587,0.08346191635609806,0.09899999999999999,0.045658552103525867,77.0,0.064,-0.076,350.0
F500,2,1,0.09007880355316635,0.49899999999999994,0.5000000000000001,0.9758981933295565,0.8942636464151895,0.5277494379963297,-0.550965486102623,-0.9899999999999999,0.03616627457528244,0.07584109258424898,0.09899999999999999,0.039790608864750165,80.5,0.073,-0.063,500.0
F500,2,2,0.07712547630096733,0.49589440993788814,0.49689440993788825,0.9899999999999999,0.8296811468387277,0.2153313409129793,-0.20998513181201753,-0.9888384041252564,0.03512501344678942,0.07271815442210987,0.09899999999999999,0.038958910797587544,80.0,0.067,-0.083,500.0
F500,2,3,0.03293685678385508,0.1103036118635452,0.8738404330999268,0.988873693148935,0.3656331324499471,0.5157997875388183,-0.09828491000879658,-0.9899999999999999,0.01401202228968179,0.029503422886511362,0.028875339145724436,0.03123705116966765,82.0,0.071,-0.083,500.0
F500,2,4,0.03051079768080845,0.10322313482583577,0.8860759493666165,0.9872664036232971,0.38432072232579956,0.5357193919982489,-0.13455770258146302,-0.8539723089146309,0.012889460586409987,0.029391970964344944,0.023243976601114342,0.029829687003410762,78.5,0.066,-0.065,500.0
F500,2,5,0.07045874717542029,0.49899999999999994,0.8576047331238605,0.9839154627692746,0.8733756997609359,0.04082725352033116,-0.2867900844632088,-0.989999999878157,0.03313526893279502,0.05178936592852708,0.03505687793088845,0.031195590471909576,85.5,0.068,-0.077,500.0
F1000,2,1,0.04441596641499959,0.1450806983259569,0.8752828773592282,0.9807310573577448,0.853227507090863,0.18432568025310653,-0.3583245927279551,-0.9899999999999999,0.024791487906132576,0.014950165337924422,0.031020684023012654,0.02620799383912728,81.5,0.071,-0.053,1000.0
F1000,2,2,0.05082518154855466,0.49899999999999994,0.8403823947247382,0.9836231232495576,0.8254253127718805,0.04504025063225914,-0.07907341009816155,-0.9899999999999999,0.025801189564198027,0.03290161848756673,0.026447622378278215,0.03562529531226916,77.5,0.076,-0.067,1000.0
F1000,2,3,0.033181535445501266,0.1104907425258313,0.8420764952810798,0.9793302818769238,0.3537836730781367,0.5561989941052611,-0.12414705806990625,-0.9899999999999994,0.013852152495300274,0.030206487583191676,0.023037477092636233,0.030260453736963608,82.0,0.075,-0.067,1000.0
F1000,2,4,0.02813709479759677,0.09218205984810508,0.8520996476618304,0.9763687552514834,0.39682434699464597,0.5857943518766819,-0.26342827774084226,-0.9899999999997365,0.011458766550285507,0.03016835405394947,0.025791825914435556,0.032542822185473955,82.0,0.073,-0.053,1000.0
F1000,2,5,0.04662827429264723,0.49577419354838703,0.823487940391889,0.9783935967407454,0.8169001573927711,0.05135196229386401,-0.07574012114079552,-0.9899999999999999,0.023768622202499555,0.0693900287455784,0.020264397387604355,0.035599976480056306,77.0,0.07,-0.062,1000.0
F5000,2,1,0.08261858371829364,0.49432710280346925,0.8748930769814823,0.9836574050697091,0.91970702928249,0.15715612559072664,-0.35713010838873116,-0.9899999999804084,0.042779168631477626,0.09899999999999999,0.031495444416373246,0.03104940123651255,53.0,0.115,-0.027,5000.0
F5000,2,2,0.09054814631952789,0.49899999999999994,0.8641706815223875,0.9842658277845543,0.9450722825294221,0.1607220548578354,-0.4184589356023504,-0.9899999999998634,0.04625955391257758,0.09899999999999999,0.03916367384005869,0.0344224854303573,54.5,0.112,-0.026,5000.0
F5000,2,3,0.07707386102631679,0.4943271028037381,0.8700437736177028,0.983625605860549,0.9117006854470838,0.1483766331132055,-0.44535552966713304,-0.9899999999879807,0.045936239089156165,0.09899999999999999,0.03688718962984606,0.0320359477675588,53.0,0.11,-0.026,5000.0
F5000,2,4,0.07746191209566586,0.49449549549549543,0.8447230902810939,0.9767957583566458,0.8942687543938538,0.16421961464773283,-0.41019928974988945,-0.9899999999999999,0.04096135857661191,0.09899999999999999,0.03826427891472251,0.03720048820306181,55.0,0.11,-0.026,5000.0
F5000,2,5,0.06795244100212676,0.49432710280373826,0.8678556947622115,0.9875018172835979,0.9266922082643937,0.16156540751009255,-0.5252205854875889,-0.9899999999998422,0.042456227990703865,0.09899999999999999,0.04550632914365896,0.034726770739460434,53.0,0.105,-0.02,5000.0
F5000,2,6,0.07626033425825736,0.49432710280373493,0.8717936239206228,0.9832444614157978,0.9383314252735581,0.15425517174753475,-0.47215132235891355,-0.9899999999997007,0.04667606155097663,0.09899999999999999,0.037045859914011256,0.031020506546772336,53.0,0.105,-0.02,5000.0
F12500,2,1,0.1091522296269946,0.49899999999999994,0.8796296296293543,0.9851593129372496,0.7214092279928654,0.36558715248327167,-0.47735194696434885,-0.9899999999999999,0.05774774418670627,0.09899999999999999,0.036092890344816504,0.02971281598906703,53.5,0.122,0.017,12500.0
F12500,2,2,0.09854858082534214,0.49899999999999994,0.8625674173776067,0.9782457233631651,0.8131069664024964,0.38416652209074137,-0.5331394207617453,-0.9899999999996942,0.06938279665012508,0.09899999999999999,0.03775611886130736,0.03067934269614865,54.5,0.121,0.022,12500.0
F12500,2,3,0.10519612209762319,0.494575221238938,0.7908113471804505,0.9273180503440449,0.7352128851755184,0.4053028430515723,-0.33029175962970836,-0.9899999999999209,0.06183718153035055,0.09899999999999999,0.027466545008589645,0.051330649387531485,56.0,0.125,0.022,12500.0
F12500,2,4,0.08180222940056366,0.46561176324589626,0.7917091219907554,0.8938053097345133,0.5798948652940145,0.39761160398050954,-0.8921678157498041,-0.07525838063953053,0.05204833038729277,0.09899999999999999,0.03920943814994842,0.008454862548273058,56.0,0.124,0.022,12500.0
F12500,2,5,3.7532314838168086e-34,0.4891823379178824,0.6858083052265808,0.9899999999999999,0.8106816988466319,0.1453787756446743,-0.5030240257028454,-0.8465818968384126,0.09899999999999998,0.04153797853865705,0.04584383826570009,0.09899999999999999,61.5,0.124,-0.045,12500.0
CF955,3,1,0.04545836918275267,0.2134376120674546,0.4951456310679612,0.9728003650602864,0.373821413861152,0.10552785962350947,-0.010000000000000002,-0.6875700295985743,0.05361687687573117,0.03700778825367109,0.09899999999999999,0.03906063363103965,51.0,-0.002,-0.062,1.0
CF955,3,2,0.10545181916715352,0.4829952570350307,0.49541284403669733,0.9866098645882364,0.28638439283066763,0.989999999999983,-0.9095447814769608,-0.6243336309853497,0.0505910060542208,0.09899999999999999,0.08779575199102035,0.043796527125518306,54.0,-0.003,-0.084,1.0
CF955,3,3,0.051653507128343656,0.163571591399541,0.660278096262606,0.9739231574868309,0.2108845939807035,0.2302112561939444,-0.010000000000308727,-0.4816944770200401,0.022133680196782694,0.05420040477552071,0.008590053804621559,0.035231798069871645,54.5,-0.001,-0.087,1.0
CF955,3,4,0.05161079700862166,0.16431583670981584,0.6686139103218615,0.9776392380075463,0.19887493935712602,0.23824229098706642,-0.011825129845470614,-0.4219884840639721,0.021921499908520513,0.052923047229870034,0.010753453737441928,0.039042986043469965,54.0,-0.002,-0.087,1.0
CF955,3,5,0.059977880042330484,0.20942090107920885,0.5000000001114082,0.9826360026413222,0.2945336073902338,0.23277016275121631,-0.016126989566368776,-0.4853992651831056,0.027234447561663256,0.06251351730658163,0.04549457341032932,0.04443843500827063,53.5,-0.001,-0.072,1.0
CF955,3,6,0.08005379315914019,0.48481428473627863,0.5000000000000001,0.9862529807610472,0.3874183425522833,0.9899999999999999,-0.8817216545986257,-0.6901859544347508,0.040144612574967244,0.09899999999999999,0.08344581168959096,0.04126547372229025,55.5,-0.001,-0.081,1.0
CF955,3,7,0.08564016432917564,0.4911390563302556,0.5000000000000001,0.983955501830684,0.4153142801423567,0.9899999999999999,-0.9071706574266246,-0.7571121431955407,0.042857084887205146,0.09899999999999999,0.08676402728919148,0.0410315331879078,54.5,0.0,-0.081,1.0
CF955,3,8,0.08560451814955712,0.48032379033409045,0.4953271028037384,0.9823251803416836,0.3537858929538636,0.9899999999999975,-0.8704221134811371,-0.72503145361136,0.04172455666441651,0.09899999999999999,0.08157264119188945,0.04159696290999854,53.0,-0.001,-0.086,1.0
