sample_name,cycle_number,A,B,tau,R2,viscosity_cP,sample_type,expected_viscosity,correlation_factor
si350_t1_ml_min,1,-0.0097242009893726,0.09246907588296412,3.880473431411304,0.9228916511665346,4114417.5525862346,Si-350cP,350,11755.478721674956
si350_t1_ml_min,2,0.024251032944026717,0.07767524536558332,4.082520927234655,0.854415354495959,4328645.990973499,Si-350cP,350,12367.559974209997
si350_t1_ml_min,3,-0.007060785452361443,0.09157749149969616,3.8649603544736295,0.8954903340357401,4097969.2307033194,Si-350cP,350,11708.483516295199
si350_t1_ml_min,4,-0.0009806642421258695,0.08610766614143925,3.9838245616542163,0.9474421483765031,4223999.46622131,Si-350cP,350,12068.569903489457
si350_t1_ml_min,5,-0.026808833233491387,0.09662036166268892,3.8792115668502243,0.9342843944789705,4113079.6133394525,Si-350cP,350,11751.656038112722
si350_t1_ml_min,6,-0.05668388654721125,0.10594369789700263,3.7937314261829607,0.9627437595104968,4022446.0869319686,Si-350cP,350,11492.70310551991
si350_t2_ml_min,1,0.019131236350252104,0.08123420511831721,3.9941447619006865,0.8859162892330322,4234941.845752597,Si-350cP,350,12099.833845007419
si350_t2_ml_min,2,-0.0228212352620591,0.09784324111383207,3.7715193423907047,0.9490136417978672,3998894.891680817,Si-350cP,350,11425.413976230906
si350_t2_ml_min,3,-0.03824876676824906,0.10574401979707086,3.688871260196407,0.9376185751965292,3911264.161529791,Si-350cP,350,11175.040461513689
si350_t2_ml_min,4,-0.04067950246542669,0.09989219675635724,3.8440974033608684,0.9565124051025566,4075848.5039958516,Si-350cP,350,11645.281439988148
si350_t2_ml_min,5,-0.005583647345343642,0.08733121948188854,3.9846904624957133,0.920627572763504,4224917.570077615,Si-350cP,350,12071.193057364613
si350_t2_ml_min,6,-0.04573934379052245,0.10489385483158357,3.7436136620417546,0.9206720791896615,3969306.847053348,Si-350cP,350,11340.876705866709
si350_t3_ml_min,1,-0.04358838323118234,0.10043228110771593,3.8605884257479874,0.9527321615460986,4093333.729234628,Si-350cP,350,11695.23922638465
si350_t3_ml_min,2,-0.0027656432199489487,0.08880008068171441,3.9212371043932643,0.9246787141831102,4157638.7663422795,Si-350cP,350,11878.967903835084
si350_t3_ml_min,3,-0.02933727156462193,0.09743097316915217,3.8491791957123924,0.9339842214026364,4081236.665008385,Si-350cP,350,11660.676185738243
si350_t3_ml_min,4,-0.04534274452097027,0.09963187306058517,3.886873191351076,0.9565356071727779,4121203.138185125,Si-350cP,350,11774.866109100356
si350_t3_ml_min,5,-0.008544908837750192,0.09252183563301271,3.8506937839383224,0.9161835409646981,4082842.5640031653,Si-350cP,350,11665.264468580472
si350_t3_ml_min,6,-0.052616585420738556,0.10775047852635095,3.739165663706765,0.9361504343223526,3964590.6899271687,Si-350cP,350,11327.401971220483
si1000_t1_ml_min,1,-0.04847331114673579,0.08007267642872791,4.320734588240954,0.9859074911069375,4581220.962971712,Si-1000cP,1000,4581.220962971713
si1000_t1_ml_min,2,-0.0610691844501554,0.08349930540307951,4.262367597179868,0.9858745360011912,4519335.170735456,Si-1000cP,1000,4519.335170735456
si1000_t1_ml_min,3,-0.04955432760971326,0.07957886989407521,4.360082532401952,0.9851920982302225,4622941.097126356,Si-1000cP,1000,4622.941097126356
si1000_t1_ml_min,4,-0.019899718666703883,0.0774362200274424,4.206009925579653,0.9758020235398008,4459579.834848433,Si-1000cP,1000,4459.579834848433
si1000_t1_ml_min,5,-0.05850770458266786,0.08252886788223875,4.335751770565516,0.9892062065433835,4597143.493984819,Si-1000cP,1000,4597.1434939848195
si1000_t1_ml_min,6,-0.030532288192006405,0.08009932809983634,4.213464908771519,0.9805141701159361,4467484.260492951,Si-1000cP,1000,4467.484260492951
si1000_t2_ml_min,1,-0.020845452150641416,0.08096544992272947,4.2296912187297595,0.9770992193631923,4484688.814446843,Si-1000cP,1000,4484.688814446843
si1000_t2_ml_min,2,-0.030905764725602393,0.08363965253273095,4.239526753541266,0.9847105317101165,4495117.309265779,Si-1000cP,1000,4495.117309265779
si1000_t2_ml_min,3,-0.02917151634711358,0.08232309823768982,4.291768505567274,0.979338945082821,4550508.586992531,Si-1000cP,1000,4550.5085869925315
si1000_t2_ml_min,4,-0.038062918867378226,0.08613406536021692,4.242564758278648,0.9839616589670652,4498338.467776306,Si-1000cP,1000,4498.338467776306
si1000_t2_ml_min,5,-0.046169220827716816,0.09004178504579417,4.190673598704418,0.9840781727668777,4443318.918850986,Si-1000cP,1000,4443.318918850986
si1000_t2_ml_min,6,-0.05889408869535474,0.09096977697551366,4.2078722308054095,0.9870687671837883,4461554.413838826,Si-1000cP,1000,4461.554413838826
si1000_t3_ml_min,1,-0.016296275979487403,0.07977178713125037,4.331198677693242,0.9774680166059997,4592315.906432276,Si-1000cP,1000,4592.315906432275
si1000_t3_ml_min,2,-0.04063108624154793,0.08923579452366297,4.167709410706364,0.9735246887099382,4418970.276896245,Si-1000cP,1000,4418.970276896245
si1000_t3_ml_min,3,-0.034309348005548836,0.08406968431635659,4.301105302912818,0.988773237316044,4560408.276700258,Si-1000cP,1000,4560.408276700258
si1000_t3_ml_min,4,-0.03648393087081443,0.08614516912721941,4.2562912056716895,0.9876233173290856,4512892.448649137,Si-1000cP,1000,4512.892448649137
si1000_t3_ml_min,5,-0.048953342561227936,0.0900073711956726,4.212816516297303,0.9892665965151131,4466796.778044098,Si-1000cP,1000,4466.796778044098
si1000_t3_ml_min,6,-0.014013907978735488,0.08268684306584795,4.225739806054613,0.9754365109875432,4480499.180898698,Si-1000cP,1000,4480.499180898698
