mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.013685067494710287,0.007469545472090714,0.0,0.0,0.664046424886918,0.1602722843185774,5,0.17608775358483944,0.0018770358888766023,0.7175508176850717,"OrderedDict({'colsample_bytree': 0.664046424886918, 'learning_rate': 0.1602722843185774, 'max_depth': 5, 'reg_alpha': 0.17608775358483944, 'reg_lambda': 0.0018770358888766023, 'subsample': 0.7175508176850717})",-848.8102416992188,-1345.4810791015625,-184.36231994628906,-792.8845469156901,475.6714242123694,6
0.009508609771728516,0.0,0.0007161299387613932,0.0010127606718177765,1.0,0.09313317286390353,3,1.0,0.1495139817350456,0.7693336768286508,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.09313317286390353, 'max_depth': 3, 'reg_alpha': 1.0, 'reg_lambda': 0.1495139817350456, 'subsample': 0.7693336768286508})",-767.0162353515625,-1354.08837890625,-325.0937194824219,-815.3994445800781,421.47613889133964,8
0.008551518122355143,0.00035650614260414895,0.0,0.0,0.3,0.3249260508872465,6,0.03559363533177904,0.0001822184951009781,0.6766990072187067,"OrderedDict({'colsample_bytree': 0.3, 'learning_rate': 0.3249260508872465, 'max_depth': 6, 'reg_alpha': 0.03559363533177904, 'reg_lambda': 0.0001822184951009781, 'subsample': 0.6766990072187067})",-1274.122314453125,-1418.228515625,-525.1314086914062,-1072.4940795898438,391.48952257061376,20
0.008455355962117514,0.00036268768038574676,0.0,0.0,0.9866220982089537,0.08698756807279079,8,0.0556168593236998,4.496657944866719,0.7774645546763765,"OrderedDict({'colsample_bytree': 0.9866220982089537, 'learning_rate': 0.08698756807279079, 'max_depth': 8, 'reg_alpha': 0.0556168593236998, 'reg_lambda': 4.496657944866719, 'subsample': 0.7774645546763765})",-800.0860595703125,-1358.699462890625,-263.86346435546875,-807.5496622721354,446.9960812252431,7
0.009648561477661133,0.00023737105081335518,0.0009659926096598307,0.0006540066972930463,0.6504016949479998,0.03480801612634566,3,0.07682040754170363,42.10919749630945,0.787924177853041,"OrderedDict({'colsample_bytree': 0.6504016949479998, 'learning_rate': 0.03480801612634566, 'max_depth': 3, 'reg_alpha': 0.07682040754170363, 'reg_lambda': 42.10919749630945, 'subsample': 0.787924177853041})",-2223.32861328125,-1395.3526611328125,-382.85528564453125,-1333.8455200195312,752.6277803985583,23
0.017235755920410156,0.0,0.0,0.0,0.6943379900245528,0.08535268203997512,5,0.06643837337559204,0.006154978763964951,0.7657566422704566,"OrderedDict({'colsample_bytree': 0.6943379900245528, 'learning_rate': 0.08535268203997512, 'max_depth': 5, 'reg_alpha': 0.06643837337559204, 'reg_lambda': 0.006154978763964951, 'subsample': 0.7657566422704566})",-851.1618041992188,-1362.7799072265625,-234.53121948242188,-816.1576436360677,461.27016219105406,9
0.01732015609741211,0.0,0.0,0.0,1.0,0.16159807818854152,5,0.5511794141591996,0.1010431373721882,0.7413867723800454,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.16159807818854152, 'max_depth': 5, 'reg_alpha': 0.5511794141591996, 'reg_lambda': 0.1010431373721882, 'subsample': 0.7413867723800454})",-871.0729370117188,-1603.96630859375,-275.00042724609375,-916.6798909505209,543.5056418794688,14
0.010905742645263672,0.000332117166265845,0.00023484230041503906,0.000332117166265845,0.8309496413422679,0.09843417318611211,10,1e-06,6.917714196493954e-06,0.7586756345080572,"OrderedDict({'colsample_bytree': 0.8309496413422679, 'learning_rate': 0.09843417318611211, 'max_depth': 10, 'reg_alpha': 1e-06, 'reg_lambda': 6.917714196493954e-06, 'subsample': 0.7586756345080572})",-707.9065551757812,-1390.174560546875,-366.20074462890625,-821.4272867838541,425.6726530250099,10
0.008507808049519857,0.0004171703988720848,0.002742767333984375,0.0038788587621545996,0.8358374692290764,0.28677331459096383,3,1.0,0.08786468169932721,0.6858442972579851,"OrderedDict({'colsample_bytree': 0.8358374692290764, 'learning_rate': 0.28677331459096383, 'max_depth': 3, 'reg_alpha': 1.0, 'reg_lambda': 0.08786468169932721, 'subsample': 0.6858442972579851})",-867.3510131835938,-1464.928955078125,-183.1229705810547,-838.4676462809244,523.6935058701489,11
0.016262054443359375,0.0,0.0,0.0,0.3,0.18018208278838035,8,0.015475451225820887,1.2956286732934485e-05,0.3703300331566845,"OrderedDict({'colsample_bytree': 0.3, 'learning_rate': 0.18018208278838035, 'max_depth': 8, 'reg_alpha': 0.015475451225820887, 'reg_lambda': 1.2956286732934485e-05, 'subsample': 0.3703300331566845})",-1311.9044189453125,-1569.81201171875,-320.8468017578125,-1067.5210774739583,538.3746756765345,19
