pump,liquid,known_viscosity_cP,cycle_number,A,B,tau_normalized,tau_physical,tau,A_error,B_error,tau_normalized_error,tau_physical_error,tau_error,r_squared,rmse,cycle_duration,cycle_amplitude,time_span_normalized,time_span_physical
3-Roller Pump,F100,100.0,6,-0.002481818181818178,0.11377624091834526,0.49708507808773267,54.92790112869446,54.92790112869446,0.002875536001913354,0.02063971872850529,0.061703080850802124,6.818190434013634,6.818190434013634,0.4825386005025537,0.010663941605541783,110.5,0.183,0.9547511312217195,105.5
3-Roller Pump,F200,200.0,1,-0.002385281385281382,0.1544527663630502,0.44702420911151125,50.737247734156526,50.737247734156526,0.0026597490054180895,0.020156325353921586,0.03693901503378885,4.1925782063350345,4.1925782063350345,0.5663753197967201,0.009739442377391277,113.5,0.17300000000000001,0.9559471365638766,108.5
3-Roller Pump,F200,200.0,2,-0.0025632034632034595,0.14536929277372274,0.4558867059076777,50.83136770870607,50.83136770870607,0.0029463105092834285,0.02207208910823504,0.0445486761511026,4.967177390847939,4.967177390847939,0.5335540630016927,0.010748603806805453,111.5,0.186,0.9551569506726457,106.5
3-Roller Pump,F200,200.0,3,-0.0031870129870129825,0.13515760368306304,0.48192095991928363,53.25226607108084,53.25226607108084,0.0028111849703568934,0.02034177456942952,0.04874916371069692,5.38678259003201,5.38678259003201,0.5370112587020108,0.010349208748261498,110.5,0.186,0.9547511312217195,105.5
3-Roller Pump,F200,200.0,4,-0.003329870129870124,0.1285777793783524,0.48102661658627327,54.59652098254202,54.59652098254202,0.0028920539077034275,0.02085809908931013,0.052528174208322946,5.961947772644654,5.961947772644654,0.5203321709551838,0.010790726492307818,113.5,0.184,0.9559471365638766,108.5
3-Roller Pump,F200,200.0,5,-0.002726406926406922,0.12020259380001393,0.4994014361473943,56.18266156658186,56.18266156658186,0.0028172657585304084,0.02014546439959794,0.05751426749204476,6.470355092855035,6.470355092855035,0.4982704673783507,0.010555425808488842,112.5,0.184,0.9555555555555556,107.5
3-Roller Pump,F200,200.0,6,-0.0027623376623376584,0.11501800801849126,0.5201939042548643,57.74152337228994,57.74152337228994,0.0027406286861691278,0.019249726398301827,0.061636721217709675,6.841676055165774,6.841676055165774,0.5107582453302217,0.010296300731360768,111.0,0.171,0.954954954954955,106.0
3-Roller Pump,F200,200.0,7,-0.004179653679653673,0.13252101436583752,0.46693425283401674,52.53010344382688,52.53010344382688,0.0026178631012402087,0.01904550154992369,0.04461398961958329,5.019073832203119,5.019073832203119,0.5701858161715094,0.009648630981293635,112.5,0.17200000000000001,0.9555555555555556,107.5
3-Roller Pump,F350,350.0,1,-0.004150216450216442,0.1694510130106743,0.45420026300083544,50.18912906159232,50.18912906159232,0.002850432295516603,0.021202734189630312,0.036832927019131705,4.0700384356140535,4.0700384356140535,0.5982843573521212,0.010342206208597429,110.5,0.25,0.9547511312217195,105.5
3-Roller Pump,F350,350.0,2,-0.003457575757575752,0.16156307737495423,0.4438746578245772,49.713961676352646,49.713961676352646,0.002833495028967881,0.021318545317790434,0.03727544678298411,4.1748500396942205,4.1748500396942205,0.587222696672224,0.010295256506725543,112.0,0.162,0.9553571428571429,107.0
3-Roller Pump,F350,350.0,3,-0.002609090909090905,0.14195975420914747,0.4755178713174257,53.020242651892964,53.020242651892964,0.002864449990592836,0.020976414825617868,0.046502840317689184,5.185066695422344,5.185066695422344,0.5176557636779088,0.01056142872651919,111.5,0.16,0.9551569506726457,106.5
3-Roller Pump,F350,350.0,4,-0.003687878787878782,0.14251388222382652,0.4758901079936473,52.585856933298025,52.585856933298025,0.002893733044720268,0.020994574023164358,0.0469259854935904,5.185321397041739,5.185321397041739,0.5594566740164921,0.010628353209412392,110.5,0.153,0.9547511312217195,105.5
3-Roller Pump,F350,350.0,5,-0.004165800865800859,0.1418075039025382,0.4690115432448313,52.5292928434211,52.5292928434211,0.002775644576299893,0.020187833686999737,0.04446336781137066,4.979897194873514,4.979897194873514,0.5627887061896856,0.010225767125551757,112.0,0.154,0.9553571428571429,107.0
3-Roller Pump,F350,350.0,6,-0.004074891774891768,0.13580413309441616,0.470503578401129,52.931652570127014,52.931652570127014,0.002994675290123877,0.02171402733392201,0.05023443908835182,5.65137439743958,5.65137439743958,0.5341741901592624,0.011067118381665703,112.5,0.151,0.9555555555555556,107.5
3-Roller Pump,F500,500.0,1,-0.004332034632034625,0.13891120165715798,0.4668956524384347,51.35852176822782,51.35852176822782,0.002831847078638677,0.0206223559406696,0.046136377640777965,5.075001540485576,5.075001540485576,0.5630660159232639,0.010323258312865112,110.0,0.139,0.9545454545454546,105.0
3-Roller Pump,F500,500.0,2,-0.0035116883116883056,0.14089017816019628,0.4563272465187745,50.652324363583965,50.652324363583965,0.0026180456998690714,0.019359758930587657,0.04078197418267611,4.526799134277048,4.526799134277048,0.5639205459430023,0.009533771584570685,111.0,0.138,0.954954954954955,106.0
3-Roller Pump,F500,500.0,3,-0.003631168831168825,0.13576023833494436,0.4511404022535624,50.97886545465255,50.97886545465255,0.0031954683779163505,0.023756602970342457,0.05102714584057718,5.766067479985221,5.766067479985221,0.4851624826755091,0.011702250329339116,113.0,0.14,0.9557522123893806,108.0
3-Roller Pump,F500,500.0,4,-0.0035471861471861417,0.13929823344296574,0.4617087051864843,50.09539451273355,50.09539451273355,0.0028576940907559132,0.021023291340880098,0.04574539959674936,4.963375856247305,4.963375856247305,0.5558842433110789,0.010322571563257048,108.5,0.14,0.9539170506912442,103.5
3-Roller Pump,F500,500.0,5,-0.003425974025974021,0.1333518122363771,0.4694972373178075,52.58369057959444,52.58369057959444,0.0027605632616275067,0.020158231014306024,0.04706523558189593,5.271306385172345,5.271306385172345,0.555455218911862,0.010173670561717913,112.0,0.133,0.9553571428571429,107.0
3-Roller Pump,F500,500.0,6,-0.0049069264069263995,0.13999937415260474,0.4598857135601184,51.27725706195321,51.27725706195321,0.0029561612917748024,0.021556366994210967,0.04686995040408405,5.225999470055371,5.225999470055371,0.5450864470842485,0.010806395794579197,111.5,0.137,0.9551569506726457,106.5
3-Roller Pump,F500,500.0,7,-0.0031233766233766183,0.13458377308197333,0.4642439185727757,51.06683104300533,51.06683104300533,0.0029076884321843667,0.021437350008441845,0.048553134125292705,5.340844753782197,5.340844753782197,0.5364831156181075,0.01058854412972024,110.0,0.137,0.9545454545454546,105.0
3-Roller Pump,F1000,1000.0,1,-0.017886147186147155,0.25350081211205644,0.37785615881715034,40.997393231660816,40.997393231660816,0.00632020003887543,0.04805216952886361,0.04476341119693989,4.856830114867978,4.856830114867978,0.49132792551638127,0.021641018729651747,108.5,0.39899999999999997,0.9539170506912442,103.5
3-Roller Pump,F1000,1000.0,2,-0.00449696969696969,0.16422156845136096,0.4665907667622393,50.85839357708409,50.85839357708409,0.0030821537419274702,0.02256882303077493,0.04246859000101098,4.629076310110197,4.629076310110197,0.593953422784139,0.011183685339166487,109.0,0.126,0.9541284403669725,104.0
3-Roller Pump,F1000,1000.0,3,-0.00455714285714285,0.1652206143553837,0.44997958882504474,49.94773435957997,49.94773435957997,0.0032231241205167662,0.023976294161773614,0.04223254590883357,4.687812595880526,4.687812595880526,0.5602792752442655,0.011692235239529334,111.0,0.125,0.954954954954955,106.0
3-Roller Pump,F1000,1000.0,4,-0.004258441558441551,0.1616764753742056,0.44587738828409956,49.7153287936771,49.7153287936771,0.0035285608656427975,0.026315988135141515,0.04661342378930032,5.197396752506986,5.197396752506986,0.5151179947156812,0.01280348363799589,111.5,0.122,0.9551569506726457,106.5
3-Roller Pump,F1000,1000.0,5,-0.0044138528138528066,0.16109340940374764,0.45448778556944824,49.311924734285135,49.311924734285135,0.0031878051148562696,0.023627573742165755,0.04341001766778357,4.7099869169545165,4.7099869169545165,0.5686275887542995,0.011462907787676849,108.5,0.121,0.9539170506912442,103.5
3-Roller Pump,F1000,1000.0,6,-0.004077489177489171,0.15562897418108296,0.45697877053583585,50.953132914745694,50.953132914745694,0.0029935863609678076,0.02211819592789051,0.04237419096663204,4.7247222927794725,4.7247222927794725,0.5739265245389287,0.010933650120998097,111.5,0.117,0.9551569506726457,106.5
3-Roller Pump,F5000,5000.0,1,-0.029891774891774844,0.2815150166372709,0.5312343593556418,57.10769363073149,57.10769363073149,0.015186836363664427,0.09466811452649622,0.14342941055638148,15.41866163481101,15.41866163481101,0.37394404220817035,0.05644764861809639,107.5,0.439,0.9534883720930233,102.5
3-Roller Pump,F5000,5000.0,2,-0.0038952380952380888,0.2794935064935052,0.45951202283766124,51.005834534980394,51.005834534980394,0.004147696541628698,0.031115088775742247,0.032893291996496564,3.6511554116111187,3.6511554116111187,0.6366897218366602,0.015124578072922308,111.0,0.108,0.954954954954955,106.0
