sample_name,trial,cycle_number,line1_slope,line1_intercept,line2_quad_coeff,line2_line_coeff,line2_const_coeff,line3_quad_coeff,line3_line_coeff,line3_const_coeff,line4_slope,line4_intercept,max_peak,min_peak,time_line1,time_line2,time_line3,time_line4,viscosity_cp
si350,t2,4,0.07024114285714406,-4.188751376000073,-0.0116960806563469,1.4672785838918705,-45.88908185904743,0.0005786413075096563,-0.08824409445541816,3.40788821396079,-0.1442485714285681,10.324673617142611,0.12362857142857141,-0.1461314285714286,1.5,5.000999999999998,7.003,1.5,350
si350,t2,5,0.07123599999999965,-5.298534247999974,-0.007905040349059655,1.2331332705834097,-47.96191536404994,0.0014462680176964822,-0.24940601056084988,10.816698724995115,-0.13432457142857215,11.591721049142924,0.1282685714285714,-0.14161142857142836,1.5,5.509,6.0,1.5,350
si350,t2,6,0.05663942857142965,-5.075699836000097,-0.013126686646686798,2.4174062263603564,-111.16785725790126,0.0005766875981155946,-0.12184193076911928,6.481035212819008,-0.12980457142857105,13.092999580571394,0.12475999999999998,-0.14336285714285707,1.5,5.0,6.5,1.5,350
si350,t3,1,0.07094400000000012,-1.1474739245714303,-0.012676496836497174,0.4856187383816309,-4.5206958981596665,0.0008820547167586498,-0.051341982017204024,0.8113369606414437,-0.1596971921225683,4.4888773795438945,0.1233885714285714,-0.16155428571428587,1.5,5.0,7.004000000000001,1.5009999999999977,350
si350,t3,2,0.09221142857142821,-2.8260338171428456,-0.008040074211503007,0.553388838361654,-9.39257264396385,0.0014037391180246534,-0.11944078321676911,2.6064949870264096,-0.15480742857142757,6.60128558971424,0.1247142857142857,-0.1660142857142858,1.5,5.5000000000000036,6.0,1.5,350
si350,t3,3,0.08144000000000039,-3.695168731428589,-0.009763128300271685,0.9551926197688528,-23.232386844186586,0.0015890623662047055,-0.179820728939576,5.156926329596578,-0.14227714285714244,8.153956165714263,0.12478285714285711,-0.16325142857142827,1.5,5.5,6.0,1.5,350
si350,t3,4,0.06852400000000118,-4.1293921931429285,-0.012529278110712897,1.58402323788879,-49.9356705449474,0.0007680084604985552,-0.11363428150143919,4.2636796292615635,-0.16193999999999903,11.666573491428494,0.12340571428571426,-0.16608857142857175,1.5,5.000999999999998,7.003,1.5,350
si350,t3,5,0.09052628571428524,-6.762065187428534,-0.008128570148220406,1.2759927985344495,-49.944316104899244,0.001916848865420262,-0.3289087731468499,14.175060683662219,-0.1255388571428582,10.903608977714372,0.13250285714285712,-0.16024857142857124,1.5,5.509,6.0,1.5,350
si350,t3,6,0.053163428571428785,-4.790856555428591,-0.008495918367349342,1.587959812559316,-74.06499457386857,0.0035705951191670705,-0.7105752325732505,35.41964477647316,-0.15417485714286003,15.655307292571726,0.12201714285714284,-0.1453200000000005,1.5,6.5,5.5,1.5,350
si1000,t1,1,0.023261714285714243,-0.19204968914285686,-0.00855378372734402,0.1752119586215002,-0.7860534234136096,-3.0465443678909046e-05,-0.007257842652504252,0.20029589681675114,-0.1006182857142855,1.8482907074285675,0.10970285714285712,-0.08673714285714286,1.5,5.5009999999999994,6.001000000000001,1.5,1000
si1000,t1,2,0.020069714285714333,-0.4713531988571437,-0.009028823647856777,0.44788163533504644,-5.442607283969704,6.518452782133967e-05,-0.011662446667449578,0.37130393431241904,-0.09970228571428617,3.273647832000015,0.10826857142857142,-0.08634857142857146,1.5,5.504000000000001,6.001000000000001,1.5,1000
si1000,t1,3,0.01993485714285706,-0.7502750879999973,-0.009423429903429809,0.7365799559373891,-14.283988700629182,0.00012636069812534142,-0.018282551489513427,0.6438344419892208,-0.1038348571428583,4.949770259428628,0.11078857142857142,-0.08337428571428636,1.5,5.0,7.0,1.5,1000
si1000,t1,4,0.035392000000000486,-1.8042857737143105,-0.007338495789923786,0.7952111493534416,-21.427693465796033,0.0010461367204227191,-0.13065111286431208,4.14531704668785,-0.09737444424224369,6.0307695177889995,0.11424571428571426,-0.0802857142857143,1.5,5.5,5.5,1.5009999999999977,1000
si1000,t1,5,0.01572628571428607,-1.062459894285737,-0.008828628514342983,1.2070364158698712,-41.14213166169571,0.00019792522241525898,-0.03623991670788501,1.675772049198775,-0.10206155922648463,7.828246408509267,0.11042285714285713,-0.0814342857142862,1.5,5.5,6.506,1.5060000000000002,1000
