time_s,s1_flow_ml_min,s1_temp_c
473.5,0.014,32.4
474,0.022,32.4
474.5,0.027,32.4
475,0.029,32.4
475.5,0.026,32.4
476,0.029,32.4
476.5,0.022,32.4
477,0.01,32.4
477.5,-0.01,32.5
478,-0.041,32.5
478.5,-0.09,32.5
479,-0.168,32.6
479.5,-0.194,32.5
480,-0.156,32.5
480.5,-0.112,32.5
481,-0.093,32.5
481.5,-0.099,32.5
482,-0.106,32.5
482.5,-0.079,32.5
483,-0.05,32.6
483.5,-0.04,32.6
484,-0.032,32.7
484.5,-0.011,32.7
485,-0.009,32.8
485.5,-0.017,32.8
486,-0.03,32.9
486.5,-0.041,32.9
487,-0.045,32.9
487.5,-0.028,32.9
488,-0.019,33
488.5,0,33
489,0.017,33
489.5,0.017,33.1
490,0.005,33.1
490.5,-0.009,33.1
491,-0.023,33.1
491.5,-0.038,33.1
492,-0.042,33.2
492.5,-0.033,33.2
493,-0.02,33.2
493.5,-0.003,33.2
494,0.009,33.2
494.5,0.016,33.2
495,0.022,33.2
495.5,0.027,33.2
496,0.025,33.2
496.5,0.024,33.2
497,0.024,33.2
497.5,0.026,33.2
498,0.036,33.2
498.5,0.04,33.2
499,0.052,33.1
499.5,0.05,33.1
500,0.049,33
500.5,0.048,33
501,0.044,33
501.5,0.043,32.9
502,0.037,32.9
502.5,0.047,32.9
503,0.056,32.9
503.5,0.064,32.8
504,0.067,32.8
504.5,0.068,32.7
505,0.073,32.7
505.5,0.069,32.7
506,0.07,32.6
506.5,0.068,32.6
507,0.059,32.5
507.5,0.061,32.5
508,0.06,32.5
508.5,0.067,32.5
509,0.064,32.5
509.5,0.061,32.4
510,0.057,32.4
510.5,0.049,32.4
511,0.049,32.4
511.5,0.041,32.4
512,0.053,32.5
512.5,0.061,32.5
513,0.064,32.4
513.5,0.07,32.4
514,0.069,32.4
514.5,0.073,32.4
515,0.073,32.3
515.5,0.075,32.3
516,0.074,32.3
516.5,0.066,32.3
517,0.071,32.3
517.5,0.068,32.3
518,0.07,32.2
518.5,0.07,32.2
519,0.063,32.2
519.5,0.063,32.2
520,0.057,32.2
520.5,0.057,32.2
521,0.058,32.2
521.5,0.057,32.2
522,0.062,32.2
522.5,0.061,32.2
523,0.067,32.2
523.5,0.069,32.2
524,0.071,32.2
524.5,0.075,32.2
525,0.068,32.2
525.5,0.072,32.1
526,0.069,32.1
526.5,0.069,32.1
527,0.072,32.1
527.5,0.07,32.1
528,0.068,32.1
528.5,0.062,32.1
529,0.063,32.1
529.5,0.057,32.1
530,0.054,32.1
530.5,0.049,32.1
531,0.046,32.1
531.5,0.059,32.1
532,0.058,32.1
532.5,0.061,32.1
533,0.063,32.1
533.5,0.058,32.2
534,0.06,32.1
534.5,0.059,32.1
535,0.061,32.1
535.5,0.058,32.1
536,0.056,32.1
536.5,0.054,32.2
537,0.05,32.2
537.5,0.055,32.2
538,0.048,32.1
538.5,0.048,32.2
539,0.047,32.2
539.5,0.042,32.2
