time_s,0.0_ml_min,0.1_ml_min,0.2_ml_min,0.3_ml_min,0.4_ml_min
1131,-0.12,,,,
1131.5,-0.153,,,,
1132,-0.157,,,,
1132.5,-0.134,,,,
1133,-0.097,,,,
1133.5,-0.066,,,,
1134,-0.05,,,,
1134.5,-0.04,,,,
1135,-0.036,,,,
1135.5,-0.038,,,,
1136,-0.042,,,,
1136.5,-0.039,,,,
1137,-0.036,,,,
1137.5,-0.034,,,,
1138,-0.033,,,,
1138.5,-0.032,,,,
1139,-0.033,,,,
1139.5,-0.037,,,,
1140,-0.036,,,,
1140.5,-0.033,,,,
1141,-0.034,,,,
1141.5,-0.037,,,,
1142,-0.036,,,,
1142.5,-0.028,,,,
1143,-0.023,,,,
1143.5,-0.021,,,,
1144,-0.018,,,,
1144.5,-0.017,,,,
1145,-0.015,,,,
1145.5,-0.015,,,,
1146,-0.015,,,,
1146.5,-0.007,,,,
1147,0,,,,
1147.5,0.004,,,,
1148,0.007,,,,
1148.5,0.006,,,,
1149,0.011,,,,
1149.5,0.019,,,,
1150,0.027,,,,
1150.5,0.036,,,,
1151,0.042,,,,
1151.5,0.052,,,,
1152,0.056,,,,
1152.5,0.062,,,,
1153,0.06,,,,
1153.5,0.057,,,,
1154,0.054,,,,
1154.5,0.047,,,,
1155,0.043,,,,
1155.5,0.048,,,,
1156,0.063,,,,
1156.5,0.07,,,,
1157,0.074,,,,
1157.5,0.076,,,,
1158,0.075,,,,
1158.5,0.078,,,,
1159,0.075,,,,
1159.5,0.074,,,,
1160,0.076,,,,
1160.5,0.07,,,,
1161,0.071,,,,
1161.5,0.068,,,,
1162,0.066,,,,
1162.5,0.064,,,,
1163,0.06,,,,
1163.5,0.058,,,,
1164,0.051,,,,
1164.5,0.047,,,,
1165,0.054,,,,
1165.5,0.063,,,,
1166,0.069,,,,
1166.5,0.065,,,,
1167,0.071,,,,
1167.5,0.077,,,,
1168,0.082,,,,
1168.5,0.082,,,,
1169,0.08,,,,
1169.5,0.081,,,,
1170,0.08,,,,
1170.5,0.083,,,,
1171,0.083,,,,
1171.5,0.081,,,,
1172,0.081,,,,
1172.5,0.072,,,,
1173,0.07,,,,
1173.5,0.061,,,,
1174,0.054,,,,
1174.5,0.057,,,,
1175,0.06,,,,
1175.5,0.066,,,,
1176,0.071,,,,
1176.5,0.075,,,,
1177,0.081,,,,
1177.5,0.08,,,,
1178,0.078,,,,
1178.5,0.072,,,,
1179,0.067,,,,
1179.5,0.063,,,,
1180,0.06,,,,
1180.5,0.065,,,,
1181,0.066,,,,
1181.5,0.068,,,,
1182,0.066,,,,
1182.5,0.062,,,,
1183,0.056,,,,
1183.5,0.046,,,,
1184,0.042,,,,
1184.5,0.047,,,,
1185,0.059,,,,
1185.5,0.064,,,,
1186,0.072,,,,
1186.5,0.077,,,,
1187,0.073,,,,
1187.5,0.078,,,,
1188,0.07,,,,
1188.5,0.063,,,,
1189,0.049,,,,
1189.5,0.039,,,,
1190,0.042,,,,
1190.5,0.05,,,,
1191,0.057,,,,
1191.5,0.058,,,,
1192,0.055,,,,
1192.5,0.047,,,,
1193,0.038,,,,
1193.5,0.034,,,,
1194,0.033,,,,
1194.5,0.042,,,,
1195,0.047,,,,
1195.5,0.049,,,,
1196,0.05,,,,
1196.5,0.048,,,,
1197,0.048,,,,
1197.5,0.044,,,,
1198,0.038,,,,
1198.5,0.037,,,,
1199,0.032,,,,
1199.5,0.032,,,,
1200,0.031,,,,
1200.5,0.034,,,,
1201,0.034,,,,
1201.5,0.032,,,,
1202,0.027,,,,
1202.5,0.019,,,,
1203,-0.012,,,,
1203.5,-0.012,,,,
1204,0.009,,,,
1204.5,0.013,,,,
1205,0.003,,,,
1205.5,-0.008,,,,
1206,-0.029,,,,
1206.5,-0.047,,,,
1207,-0.075,,,,
1207.5,-0.11,,,,
1208,-0.122,,,,
1208.5,-0.122,,,,
1209,-0.114,,,,
1209.5,-0.088,,,,
1210,-0.052,,,,
1210.5,-0.033,,,,
1211,-0.025,,,,
1211.5,-0.034,,,,
1212,-0.052,,,,
1212.5,-0.064,,,,
1213,-0.063,,,,
1213.5,-0.042,,,,
1214,-0.03,,,,
1214.5,-0.031,,,,
1215,-0.027,,,,
1215.5,-0.022,,,,
1216,-0.028,,,,
1216.5,-0.033,,,,
1217,-0.031,,,,
1217.5,-0.031,,,,
1218,-0.022,,,,
1218.5,-0.016,,,,
1219,-0.016,,,,
1219.5,-0.004,,,,
1220,0.002,,,,
1220.5,-0.006,,,,
1221,-0.019,,,,
1221.5,-0.027,,,,
1222,-0.023,,,,
1222.5,-0.022,,,,
1223,-0.018,,,,
1223.5,-0.011,,,,
1224,-0.009,,,,
1224.5,-0.009,,,,
1225,-0.003,,,,
1225.5,0.009,,,,
1226,0.02,,,,
1226.5,0.026,,,,
1227,0.03,,,,
1227.5,0.037,,,,
1228,0.034,,,,
1228.5,0.038,,,,
1229,0.042,,,,
1229.5,0.051,,,,
1230,0.054,,,,
1230.5,0.052,,,,
1231,0.05,,,,
1231.5,0.046,,,,
1232,0.045,,,,
1232.5,0.043,,,,
1233,0.048,,,,
1233.5,0.053,,,,
1234,0.055,,,,
1234.5,0.062,,,,
1235,0.063,,,,
1235.5,0.068,,,,
1236,0.07,,,,
1236.5,0.067,,,,
1237,0.065,,,,
1237.5,0.06,,,,
1238,0.058,,,,
1238.5,0.059,,,,
1239,0.062,,,,
1239.5,0.066,,,,
1240,0.062,,,,
1240.5,0.063,,,,
1241,0.058,,,,
1241.5,0.052,,,,
1242,0.046,,,,
1242.5,0.048,,,,
1243,0.057,,,,
1243.5,0.065,,,,
1244,0.073,,,,
1244.5,0.079,,,,
1245,0.08,,,,
1245.5,0.081,,,,
1246,0.076,,,,
1246.5,0.077,,,,
1247,0.072,,,,
1247.5,0.071,,,,
1248,0.075,,,,
1248.5,0.076,,,,
1249,0.076,,,,
1249.5,0.072,,,,
1250,0.07,,,,
1250.5,0.066,,,,
1251,0.059,,,,
1251.5,0.055,,,,
1252,0.052,,,,
1252.5,0.067,,,,
1253,0.072,,,,
1253.5,0.075,,,,
1254,0.082,,,,
1254.5,0.079,,,,
1255,0.083,,,,
1255.5,0.081,,,,
1256,0.079,,,,
1256.5,0.078,,,,
1257,0.072,,,,
1257.5,0.075,,,,
1258,0.075,,,,
1258.5,0.075,,,,
1259,0.072,,,,
1259.5,0.068,,,,
1260,0.062,,,,
1260.5,0.057,,,,
1261,0.055,,,,
1261.5,0.048,,,,
1262,0.058,,,,
1262.5,0.068,,,,
1263,0.067,,,,
1263.5,0.073,,,,
1264,0.07,,,,
1264.5,0.071,,,,
1265,0.068,,,,
1265.5,0.063,,,,
1266,0.065,,,,
1266.5,0.061,,,,
1267,0.065,,,,
1267.5,0.061,,,,
1268,0.058,,,,
1268.5,0.058,,,,
1269,0.053,,,,
1269.5,0.052,,,,
1270,0.044,,,,
1270.5,0.038,,,,
1271,0.032,,,,
1271.5,0.033,,,,
1272,0.044,,,,
1272.5,0.046,,,,
1273,0.053,,,,
1273.5,0.054,,,,
1274,0.053,,,,
1274.5,0.05,,,,
1275,0.043,,,,
1275.5,0.043,,,,
1276,0.04,,,,
1276.5,0.04,,,,
1277,0.04,,,,
1277.5,0.036,,,,
1278,0.035,,,,
1278.5,0.032,,,,
1279,0.032,,,,
1279.5,0.028,,,,
1280,0.023,,,,
1280.5,0.019,,,,
1281,0.022,,,,
1281.5,0.03,,,,
1282,0.031,,,,
1282.5,0.033,,,,
1283,0.034,,,,
1283.5,0.033,,,,
1284,0.034,,,,
1284.5,0.031,,,,
1285,0.03,,,,
1285.5,0.029,,,,
1286,0.026,,,,
1286.5,0.026,,,,
1287,0.023,,,,
1287.5,0.02,,,,
1288,0.019,,,,
1288.5,0.017,,,,
1289,-0.01,,,,
1289.5,-0.017,,,,
1290,-0.009,,,,
1290.5,-0.011,,,,
1291,-0.026,,,,
1291.5,-0.067,,,,
1292,-0.123,,,,
1292.5,-0.18,,,,
1293,-0.196,,,,
1293.5,-0.166,,,,
1294,-0.121,,,,
1294.5,-0.086,,,,
1295,-0.069,,,,
1295.5,-0.065,,,,
1296,-0.066,,,,
1296.5,-0.05,,,,
1297,-0.036,,,,
1297.5,-0.032,,,,
1298,-0.033,,,,
1298.5,-0.039,,,,
1299,-0.043,,,,
1299.5,-0.043,,,,
1300,-0.038,,,,
1300.5,-0.035,,,,
1301,-0.038,,,,
1301.5,-0.039,,,,
1302,-0.041,,,,
1302.5,-0.037,,,,
1303,-0.029,,,,
1303.5,-0.017,,,,
1304,-0.006,,,,
1304.5,-0.002,,,,
1305,0.003,,,,
1305.5,0.007,,,,
1306,0.008,,,,
1306.5,0.005,,,,
1307,0.009,,,,
1307.5,0.013,,,,
1308,0.018,,,,
1308.5,0.022,,,,
1309,0.026,,,,
1309.5,0.038,,,,
1310,0.041,,,,
1310.5,0.04,,,,
1311,0.034,,,,
1311.5,0.039,,,,
1312,0.05,,,,
1312.5,0.059,,,,
1313,0.064,,,,
1313.5,0.061,,,,
1314,0.063,,,,
1314.5,0.06,,,,
1315,0.058,,,,
1315.5,0.057,,,,
1316,0.056,,,,
1316.5,0.062,,,,
1317,0.062,,,,
1317.5,0.06,,,,
1318,0.055,,,,
1318.5,0.057,,,,
1319,0.063,,,,
1319.5,0.059,,,,
1320,0.061,,,,
1320.5,0.063,,,,
1321,0.069,,,,
1321.5,0.076,,,,
1322,0.075,,,,
1322.5,0.076,,,,
1323,0.076,,,,
1323.5,0.079,,,,
1324,0.078,,,,
1324.5,0.074,,,,
1325,0.072,,,,
1325.5,0.068,,,,
1326,0.074,,,,
1326.5,0.072,,,,
1327,0.067,,,,
1327.5,0.063,,,,
1328,0.054,,,,
1328.5,0.054,,,,
1329,0.057,,,,
1329.5,0.059,,,,
1330,0.06,,,,
1330.5,0.062,,,,
1331,0.069,,,,
1331.5,0.071,,,,
1332,0.077,,,,
1332.5,0.078,,,,
1333,0.076,,,,
1333.5,0.073,,,,
1334,0.065,,,,
1334.5,0.069,,,,
1335,0.074,,,,
1335.5,0.081,,,,
1336,0.081,,,,
1336.5,0.072,,,,
1337,0.071,,,,
1337.5,0.063,,,,
1338,0.059,,,,
1338.5,0.06,,,,
1339,0.062,,,,
1339.5,0.066,,,,
1340,0.069,,,,
1340.5,0.072,,,,
1341,0.075,,,,
1341.5,0.076,,,,
1342,0.076,,,,
1342.5,0.068,,,,
1343,0.069,,,,
1343.5,0.065,,,,
1344,0.068,,,,
1344.5,0.072,,,,
1345,0.065,,,,
1345.5,0.066,,,,
1346,0.065,,,,
1346.5,0.066,,,,
1347,0.057,,,,
1347.5,0.048,,,,
1348,0.04,,,,
1348.5,0.037,,,,
1349,0.053,,,,
1349.5,0.056,,,,
1350,0.059,,,,
1350.5,0.061,,,,
1351,0.058,,,,
1351.5,0.058,,,,
1352,0.052,,,,
1352.5,0.049,,,,
1353,0.044,,,,
1353.5,0.042,,,,
1354,0.047,,,,
1354.5,0.043,,,,
1355,0.047,,,,
1355.5,0.047,,,,
1356,0.045,,,,
1356.5,0.038,,,,
1357,0.029,,,,
1357.5,0.023,,,,
1358,0.02,,,,
1358.5,0.032,,,,
1359,0.037,,,,
1359.5,0.04,,,,
1360,0.041,,,,
1360.5,0.041,,,,
1361,0.047,,,,
1361.5,0.043,,,,
1362,0.039,,,,
1362.5,0.031,,,,
1363,0.028,,,,
1363.5,0.03,,,,
1364,0.029,,,,
1364.5,0.034,,,,
1365,0.038,,,,
1365.5,0.037,,,,
1366,0.032,,,,
1366.5,0.025,,,,
1367,0.02,,,,
1367.5,0.011,,,,
1368,0.009,,,,
1368.5,0.016,,,,
1369,0.01,,,,
1369.5,-0.007,,,,
1370,-0.009,,,,
1370.5,-0.046,,,,
1371,-0.136,,,,
1371.5,-0.237,,,,
1372,-0.264,,,,
1372.5,-0.203,,,,
1373,-0.126,,,,
1373.5,-0.066,,,,
1374,-0.027,,,,
1374.5,-0.014,,,,
1375,-0.016,,,,
1375.5,-0.025,,,,
1376,-0.037,,,,
1376.5,-0.047,,,,
1377,-0.054,,,,
1377.5,-0.049,,,,
1378,-0.032,,,,
1378.5,-0.023,,,,
1379,-0.021,,,,
1379.5,-0.026,,,,
1380,-0.031,,,,
1380.5,-0.031,,,,
1381,-0.034,,,,
1381.5,-0.038,,,,
1382,-0.037,,,,
1382.5,-0.031,,,,
1383,-0.023,,,,
1383.5,-0.007,,,,
1384,0.001,,,,
1384.5,0,,,,
1385,-0.006,,,,
1385.5,-0.014,,,,
1386,-0.018,,,,
1386.5,-0.012,,,,
1387,-0.008,,,,
1387.5,-0.001,,,,
1388,0.008,,,,
1388.5,0.014,,,,
1389,0.022,,,,
1389.5,0.027,,,,
1390,0.033,,,,
1390.5,0.036,,,,
1391,0.041,,,,
1391.5,0.045,,,,
1392,0.051,,,,
1392.5,0.058,,,,
1393,0.056,,,,
1393.5,0.061,,,,
1394,0.062,,,,
1394.5,0.059,,,,
1395,0.056,,,,
1395.5,0.049,,,,
1396,0.048,,,,
1396.5,0.055,,,,
1397,0.064,,,,
1397.5,0.069,,,,
1398,0.068,,,,
1398.5,0.071,,,,
1399,0.071,,,,
1399.5,0.074,,,,
1400,0.074,,,,
1400.5,0.074,,,,
1401,0.075,,,,
1401.5,0.069,,,,
1402,0.073,,,,
1402.5,0.069,,,,
1403,0.069,,,,
1403.5,0.067,,,,
1404,0.06,,,,
1404.5,0.056,,,,
1405,0.05,,,,
1405.5,0.045,,,,
1406,0.048,,,,
1406.5,0.058,,,,
1407,0.065,,,,
1407.5,0.062,,,,
1408,0.068,,,,
1408.5,0.071,,,,
1409,0.074,,,,
1409.5,0.074,,,,
1410,0.07,,,,
1410.5,0.071,,,,
1411,0.071,,,,
1411.5,0.073,,,,
1412,0.075,,,,
1412.5,0.078,,,,
1413,0.078,,,,
1413.5,0.07,,,,
1414,0.07,,,,
1414.5,0.062,,,,
1415,0.062,,,,
1415.5,0.061,,,,
1416,0.06,,,,
1416.5,0.066,,,,
1417,0.068,,,,
